Class_ID,Industry,Description
5020,Contractor,Acoustical ceiling installation
9521,Contractor,Advertising display installation service
5506,Contractor,Asphalt laying on top of already constructed highway--and drivers
1463,Contractor,Asphalt works and drivers--operated by paving contractors at permanent location
5506,Contractor,Asphalt works and drivers--operated by road paving contractors at temporary location
5506,Contractor,Asphalt--spraying roads with liquid asphalt--and drivers
5191,Contractor,Audio or intercommunication system installation--within building
5188,Contractor,Automatic sprinkler installation and drivers
5199,Contractor,Awning erection--metal--erection of metal awnings exclusively and drivers
5192,Contractor,"Awning, tent or canvas goods installation, removal or repair"
5309,Contractor,"Balcony erection--iron or steel,  exterior"
5403,Contractor,"Board installation—chalk, bulletin or cork"
